ags_code,refined_ags
AL22,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AJ15,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AJ14,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AH6,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AG11,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AF5,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AF16,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AF15,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AE6,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AE19,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AE18,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AD26,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AC5,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AC15,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AC14,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AB16,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
AB15,COMMUNITY DISASTER MANAGEMENT COMMITTEES (CDMC) ESTABLISH AND TRAIN 
GR11,COMMUNITY PRODUCTIVE ASSETS BUILDING
GQ13,COMMUNITY PRODUCTIVE ASSETS BUILDING
GL12,COMMUNITY PRODUCTIVE ASSETS BUILDING
GJ11,COMMUNITY PRODUCTIVE ASSETS BUILDING
GC11,COMMUNITY PRODUCTIVE ASSETS BUILDING
GA11,COMMUNITY PRODUCTIVE ASSETS BUILDING
AK11,COMMUNITY PRODUCTIVE ASSETS BUILDING
FK26,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
FJ29,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
EB9,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
EA9,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DZ7,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DO6,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DK4,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAH6,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAG7,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAF7,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAE5,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAD7,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAC5,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAB4,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
DAA6,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CT8,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CS10,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CO2,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CN17,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CM20,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CM2,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CL18,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CK16,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CJ19,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CF11,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CE8,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CD23,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CC24,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CC2,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CB21,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
CA19,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
AH3,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
AG8,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
AA3,COMMUNITY WASH GROUPS ESTABLISH AND TRAIN AND EQUIP
GR9,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
GQ11,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
GP5,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
GN5,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
GM8,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
GM5,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
GL10,CONSTRUCTION AND REHABILITATION OF PUBLIC FACILITIES
