activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brics_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,district_id
5,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,Latrine rehabilitation,90,90,4500,2,f,f,t,f,t,f,t,t,2208
5,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2201
5,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2201
29,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,400,540,2,f,f,t,f,f,f,t,t,2603
29,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,3250,540,2,f,f,t,f,f,f,t,t,2603
29,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,270,540,2,f,f,t,f,f,f,t,t,2604
5,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,
5,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DISEASE,Latrine construction,20,20,5000,2,f,f,t,f,f,f,t,f,2308
8,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,2300,1000,4,f,f,t,t,t,t,t,t,2308
8,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,225,1000,4,f,f,t,t,t,t,t,t,2308
8,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,310,1000,4,f,f,t,t,t,t,t,t,2308
8,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,300,1000,4,f,f,t,t,t,t,t,t,2308
8,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,450,1000,4,f,f,t,t,t,t,t,t,2308
8,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,1500,1000,4,f,f,t,t,t,t,t,t,2308
9,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Carry out Market Analysis for agricultural products,1,1375,10000,4,f,f,f,t,f,f,f,f,2308
14,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,FLOOD,River bank strengthening through CfW,2,150,2000,4,f,f,t,f,t,f,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,River bank strengthening through CfW,3,225,3000,4,f,f,t,f,t,f,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,River bank strengthening through CfW,5,310,5000,4,f,f,t,f,t,f,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,FLOOD,River bank strengthening through CfW,5,300,5000,4,f,f,t,f,t,f,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,River bank strengthening through CfW,5,450,5000,4,f,f,t,f,t,f,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,River bank strengthening through CfW,10,1500,10000,4,f,f,t,f,t,f,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,2300,7000,4,f,f,f,f,f,t,f,f,2308
14,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,150,7000,4,f,f,t,f,f,f,f,f,2308
14,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,300,7000,4,f,f,f,f,t,f,f,f,2308
1,MUDUG,JARIIBAN,HINGOD,IRC,DROUGHT,Pastoralist Training and Field Schools,3,45,18224,4,f,f,f,f,t,t,t,t,1804
1,MUDUG,JARIIBAN,BUDBUD,IRC,DROUGHT,Pastoralist Training and Field Schools,3,45,18224,4,f,f,f,f,t,t,t,t,1804
1,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Pastoralist Training and Field Schools,3,45,18224,4,f,f,f,f,t,t,t,t,1801
1,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Pastoralist Training and Field Schools,3,45,18224,4,f,f,f,f,t,t,t,t,1801
2,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Animal treatment,800 Goats,100,2200,4,f,f,f,f,f,f,t,f,1801
2,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Animal treatment,1000 goats,150,3000,4,f,f,f,f,f,f,t,f,1801
2,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Animal treatment,800 Animals,80,2200,4,f,f,f,f,f,f,t,f,1801
5,GEDO,LUUQ,AL-CADAALA (Only),NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2606
8,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,395,3000,4,f,f,t,t,t,t,t,t,2205
29,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,220,540,2,f,f,t,f,f,f,t,t,2604
5,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,
13,BANADIR,BANADIR,SACID RORAYE,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,
13,BANADIR,BANADIR,DAGAH TUR,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,
8,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,150,1000,4,f,f,t,t,t,t,t,t,2308
2,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Animal treatment,300 Animals,30,1000,4,f,f,f,f,f,f,t,f,1801
2,MUDUG,GAALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Animal treatment,800 Animals,80,2200,4,f,f,f,f,f,f,t,f,1801
1,GEDO,BELET XAAWO,MALKARIYEY,CWW,DROUGHT,Establish Pastoralist Field Schools,1,25,4000,4,f,f,f,t,t,t,f,f,2603
1,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Establish Pastoralist Field Schools,1,25,4000,4,f,f,f,t,t,t,f,f,2603
3,GEDO,BELET XAAWO,MALKARIYEY,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,390,1680,2,f,t,t,t,t,t,t,t,2603
3,GEDO,BELET XAAWO,HAROODI,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,300,1680,2,f,t,t,t,t,t,t,t,2603
3,GEDO,BELET XAAWO,GAWIIDO,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,400,1680,2,f,t,t,t,t,t,t,t,2603
3,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,3250,1680,2,f,t,t,t,t,t,t,t,2603
1,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Establish Pastoralist Field Schools,1,25,4000,4,f,f,f,t,t,t,f,f,2604
13,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Unconditional cash transfers,30 HHs/3mths,30,9000,4,f,t,f,f,f,f,f,f,1803
13,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Unconditional cash transfers,30 HHs/3mths,30,9000,4,f,t,f,f,f,f,f,f,1803
13,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Unconditional Cash Distribution,9,50,31500,4,t,t,f,t,f,t,t,t,2401
29,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,300,540,2,f,f,t,f,f,f,t,t,2604
29,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,1400,540,2,f,f,t,f,f,f,t,t,2604
29,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,290,540,2,f,f,t,f,f,f,t,t,2604
29,GEDO,CEEL WAAQ,DHAMASA,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,1200,540,2,f,f,t,f,f,f,t,t,2604
33,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Establish solar powered drip irrigation unit for 50 farmers,1,50,120000,4,f,t,t,t,f,f,f,f,2401
33,BAY,BAYDHABA,HAWL WADAAG,NRC,DROUGHT,Distribution of farm inputs,4,100,16000,4,f,f,t,f,t,f,t,t,2401
33,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Establish solar powered drip irrigation unit for 50 farmers,1,50,120000,4,f,t,t,t,f,f,f,f,2605
33,GEDO,DOOLOW,SUR-GUDUD,NRC,DROUGHT,Distribution of farm inputs,4,30,4800,4,f,f,t,f,t,f,t,t,2605
33,GEDO,DOOLOW,QANSAXLEY,NRC,DROUGHT,Distribution of farm inputs,4,50,8000,4,f,f,t,f,t,f,t,t,2605
33,GEDO,DOOLOW,KAPASA,NRC,DROUGHT,Distribution of farm inputs,4,100,16000,4,f,f,t,f,t,f,t,t,2605
33,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,FLOOD,Farm land preparation,30 Farms,30,2000,4,f,t,t,f,f,f,f,f,1803
8,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,900,3000,4,f,f,t,t,t,t,t,t,2208
33,GEDO,LUUQ,LUUQ-GODEY,NRC,DROUGHT,Establish solar powered drip irrigation unit for 50 farmers,1,50,120000,4,f,t,t,t,f,f,f,f,2606
33,GEDO,LUUQ,LUUQ-GODEY,NRC,DROUGHT,Distribution of farm inputs,4,50,8000,4,f,f,t,f,t,f,t,t,2606
9,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Market Analysis for skills/products needed in Banadir employment / retail markets,1,400,10000,4,f,f,t,f,f,f,f,f,2208
13,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,DISEASE OUTBREAK,Unconditional cash transfer to the acute food insecure HHs (IDPs and poor host HH),3,300,90000,4,f,f,t,f,t,f,t,f,2212
13,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Unconditional cash transfer (safety net of $30 for 24 months),30,30,21600,4,f,f,t,t,t,t,t,f,2205
13,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Unconditional cash transfer (safety net of $30 for 24 months),100,100,72000,4,f,f,t,t,t,t,t,f,2208
13,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,UCT to the acute food insecure HHs (IDPs and poor host HH),3,400,120000,4,f,f,t,t,t,t,f,f,2216
13,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Implementation of cash transfer (unconditional),3,121,61000,4,f,f,f,f,f,t,t,t,2208
13,BANADIR,HAMARWEINE,HORSEED,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,2201
13,BANADIR,HAMARWEINE,HILAAC,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,2201
13,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,Unconditional cash transfer to the acute food insecure HHs (IDPs and poor host HH),3,300,90000,4,f,f,t,f,t,f,t,f,
13,BANADIR,BANADIR,OCTOBER,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,
13,BANADIR,BANADIR,HALANE,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,
14,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,MARKET STAGNATION,Road rehabilation through cash for work (KM),4,16,4000,4,f,f,f,f,f,t,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,MARKET STAGNATION,Road rehabilation through cash for work (KM),4,16,4000,4,f,f,f,f,f,t,t,f,2308
14,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,CONFLICT,River water catchments rehabilitation; through CfW,1,2300,7000,4,f,f,f,f,t,f,f,f,2308
14,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,FLOOD,River bank strengthening through CfW,10,2300,10000,4,f,f,t,f,t,f,t,f,2308
1,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Establish Pastoralist Field Schools,1,25,4000,4,f,f,f,t,t,t,f,f,2604
3,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,270,1680,2,f,t,t,t,t,t,t,t,2604
3,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,220,1680,2,f,t,t,t,t,t,t,t,2604
3,GEDO,CEEL WAAQ,MERI,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,300,1680,2,f,t,t,t,t,t,t,t,2604
3,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,1400,1680,2,f,t,t,t,t,t,t,t,2604
3,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,290,1680,2,f,t,t,t,t,t,t,t,2604
3,GEDO,CEEL WAAQ,DHAMASA,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,1200,1680,2,f,t,t,t,t,t,t,t,2604
3,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,200,1500,2,f,t,f,f,f,t,t,t,1803
3,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,150,1500,2,f,t,f,f,f,t,t,t,1803
3,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,350,2500,2,f,t,f,f,f,t,t,t,1803
5,GEDO,LUUQ,LUUQ-GODEY,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2606
5,GEDO,LUUQ,JAZEERA (ALL),NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2606
4,BAY,BAYDHABA,BONKAI,NRC,DROUGHT,Borehole drilling and equipping,1,300,181000,2,f,f,t,t,t,f,f,f,2401
