Name of Partner,Amendment,Sector/unit of LOA,LoA #,Activity,Detailed Info,Project Code,Duration-from,Duration-To,Territory,Region,District,No HH/beneficiaries,Total LOA amount,Original Amount,Amended amount,CFW/voucher amount,1st instalment $,1st instalment status,2nd instalment $,2nd instalment status,3rd instalment $,3rd instalment status,4th instalment $,4th instalment status,Total all instalments,CPF Output 1,CPF Output 2,CPF Output 3,CPF Output 4,Reports due midterm 1,Report Status  midterm 1,Reports due midterm 2,Report Status  midterm 2,Report final,Report final status,Final Fin,Final report finished status,Days worked on
SOWELPA,Primary,Livestock/Emergency,23,Awareness and  training in clinical diagnonsis and reporting for PPR & CCPP ,,TCP/SOM/3301(E),10-Jun-13,27-Jul-13,South Central,"M& Lshabelle, Lower Juba",All districts,120 trainees,"19,760.00",,,,"5,928.00",,"9,880.00",,"3,952.00",,,,"19,760.00",,,,,,,,,,,,,
MNR,Primary,Agric/Live,68,Workshop for strategy development  ,for all sectors ,,10-Jun-13,25-Nov-13,South Central,SOM GOV,SOM GOV,n/a,"93,260.00",,,,"27,978.00",paid,"37,304.00",14-Nov-13,"9,326.00",,"18,652.00",,"93,260.00",,,,,,,,,,,,,
JDO,Primary,Livestock/D,77,Fodder inputs distribution,,,28-Jun-13,31-Jul-13,South Central,"Lower Juba, M & L Shabelle",,180 CAHW,"29,010.00",,,,"8,703.00",,"11,604.00",10-Sep-13,"8,703.00",,,,"29,010.00",,,,,,,,,,,,,
Intersos,Primary,Livestock/Emergency,96,Restocking  (distribution),,"OSRO/SOM/202/CHS, OSRO/SOM/301/MUL",8-Jul-13,2-Sep-13,South Central,Bay,Baidoa,911 HHs,"5,320.00",,,,"1,596.00",piad,"3,724.00",23-Dec-13,,,,,"5,320.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,97,Restocking  (reception & Quarantine  ),,OSRO/SOM/301/MUL,8-Jul-13,2-Sep-13,South Central,Bay,Baidoa,7296 animals,"45,575.00",,,,"13,673.00",paid,"31,902.00",23-Aug-13,,,,,"45,575.00",,,,,,,,,,,,,
IGAD Sheikh Technical Veterinary School,Primary,Livestock/D,98,Facililtate and Co-implement traiing on clinical dianosis of PPR & CCPP ,,,12-Jul-13,30-Jul-13,Somaliland,all regions in Somaliland,all regions in Somaliland,10 staff ,"5,976.00",,,,"1,793.00",paid,"4,183.00",16-Jul-13,,,,,"5,976.00",,,,,,,,,,,,,
WARDI,Primary,CFW IIb,79,CFW,,OSRO/SOM/124/USA,15-Jul-13,31-Dec-13,South Central,Bakool,Tayeeglow,"3,816","47,582.00",,,"962,946.00","14,275.00",5-Aug-13,"11,896.00",9-Oct-13,"11,896.00",,"9,516.00",,"47,583.00",,,,,,,,,,,,,
APD,Primary,CFW IIb,81,CFW,,OSRO/SOM/124/USA,15-Jul-13,31-Dec-13,Puntland,Sanaag,Laasqoray/Badhan,"2,037","48,329.00",, -   ,"624,039.00","14,499.00",PAID,"12,082.00",18-Sep-13,"12,082.00",,"9,666.00",,"48,329.00",,,,,,,,,,,,,
JCC,Primary,CFW IIb,88,CFW,,OSRO/SOM/124/USA,15-Jul-13,31-Dec-13,South Central,Bakool,"Ceel Barde, Rub dhuuure","2,712","44,124.00",,,"684,384.00","13,237.00",PAID,"11,031.00",18-Sep-13,"11,031.00",,"8,825.00",,"44,124.00",,,,,,,,,,,,,
JDO,Primary,CFW IIb,91,CFW,,OSRO/SOM/124/USA,16-Jul-13,31-Dec-13,South Central,Lower Juba,Afmadow,893,"41,793.00",, -   ,"225,331.00","12,538.00",PAID,"10,448.00",18-Sep-13,"10,448.00",,"8,359.00",,"41,793.00",,,,,,,,,,,,,
Municipality of Galkayo North,Primary,Livestock/D,59,support during the rehabilitation of Galkayo meat market ,,,17-Jul-13,16-Jun-14,Puntland,Puntland,Galkayo,,"15,000.00",,,,"3,000.00",paid,"4,500.00",22-Jan-14,"4,500.00",13-Jun-14,"3,000.00",,"15,000.00",,,,,,,,,,,,,
WVI,Primary,CFW IIb,82,CFW,,OSRO/SOM/124/USA,18-Jul-13,31-Dec-13,Somaliland,Togdhere,Burco,"1,400","94,069.00",, -   ,"428,890.00","28,221.00",PAID,"23,517.00",10-Oct-13,"23,517.00",13-Mar-14,"18,814.00",USD 12679            5 sept 2014,"94,069.00",,,,,,,,,,,,,
SVO,Primary,CFW IIb,80,CFW,,OSRO/SOM/124/USA,19-Jul-13,31-Dec-13,Puntland,Sool,Taleex,646,"48,408.00",, -   ,"197,894.00","14,522.00",PAID,"12,102.00",18-Sep-13,"12,102.00",,"9,682.00",,"48,408.00",,,,,,,,,,,,,
SHARDO,Primary,CFW IIb,92,CFW,,OSRO/SOM/124/USA,19-Jul-13,31-Dec-13,South Central,Middle Jubba,Buale,680,"42,534.00",, -   ,"181,798.00","12,760.00",PAID,"10,633.00",18-Sep-13,"10,634.00",,"8,507.00",,"42,534.00",,,,,,,,,,,,,
Norwegian Church Aid (NCA),Primary,CFW IIb,93,CFW,,OSRO/SOM/124/USA,19-Jul-13,31-Dec-13,Puntland,Puntland,"Burtinle, Garowe, Eyl",1387,"39,036.00",,,"424,925.00","11,711.00",13-Aug-13,"9,759.00",14-Nov-13,"9,759.00",,"7,807.00",,"39,036.00",,,,,,,,,,,,,
NAPAD,Primary,CFW IIb,94,CFW,,OSRO/SOM/124/USA,19-Jul-13,31-Dec-13,South Central,Gedo,"Luuq, Dollow, Belet Hawa","2,330","117,116.00","110,099.00","7,017.00","587,962.00","33,030.00",PAID,"27,524.00",,"27,525.00",,"22,020.00",,"110,099.00",,,,,,,,,,,,,
Municipality of Galkayo South,Primary,Livestock/D,72,Support to Slaugterhouse and Livestock amrketing infrastrcture development ,,,21-Jul-13,16-May-14,South Central,Mudug,Galkayo South ,,"14,000.00",,,,"3,000.00",,"4,000.00",,"4,000.00",,"3,000.00",,"14,000.00",,,,,,,,,,,,,
RAWA,Primary,CFW IIb,84,CFW,,OSRO/SOM/124/USA,22-Jul-13,31-Dec-13,South Central,Mudug,Hobyo,"2,266","49,541.00",, -   ,"728,198.00","14,862.00",PAID,"12,385.00",14-Nov-13,"12,386.00",,"9,908.00",,"49,541.00",,,,,,,,,,,,,
SARD,Primary,CFW IIb,87,CFW,,OSRO/SOM/124/USA,23-Jul-13,31-Dec-13,South Central,Bay,"Buurhakaba, qansaxdhere","4,762","49,864.00",, -   ,"1,201,688.00","14,959.00",PAID,"12,466.00",18-Sep-13,"12,466.00",,"9,973.00",,"49,864.00",,,,,,,,,,,,,
CEFA,Primary,CFW IIb,89,CFW,,OSRO/SOM/124/USA,23-Jul-13,31-Dec-13,South Central,Middle Shabelle,"Jowhar, Balcad","6,536","103,030.00",, -   ,"1,747,378.00","30,909.00",PAID,"25,757.00",18-Sep-13,"25,758.00",,"20,606.00",,"103,030.00",,,,,,,,,,,,,
BRADO,Primary,CFW IIb,90,CFW,,OSRO/SOM/124/USA,23-Jul-13,31-Dec-13,South Central,Galgadud,Dhusamared,"1,950","48,230.00",,"48,230.00","626,646.00","14,469.00",PAID,"12,057.00",24-Sep-13,"12,058.00",,"9,646.00",,"48,230.00",,,,,,,,,,,,,
Mercy Corps,Primary,CFW IIb,86,CFW,,OSRO/SOM/124/USA,24-Jul-13,31-Dec-13,South Central,Middle Shabelle,"Afgoye, wanlawye",300,"65,940.00",64235, -   ,"153,864.00","19,271.00",PAID,"16,058.00",1-Oct-13,"16,059.00",,"12,847.00",,"64,235.00",,,,,,,,,,,,,
PENHA,Primary,Environment/NRM,99,Reinforcement of SOLPAF capacities in land issue,4 trainings and 3 meetings,"OSRO/SOM/301/MUL,",30-Jul-13,30-Nov-13,Somaliland,Gabiley,Hargeisa,60 members,"8,000.00",,,,"2,400.00",14-Aug-13,"4,000.00",9-Dec-13,"1,600.00",12-Feb-14,,,"8,000.00",,,,,,,,,,,,,
PENHA,Amendment 1,Environment/NRM,99,,,,30-Jul-13,30-Jan-14,Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEDSOM-Somalia,Primary,Fisheries,102,Fisheries inputs distribution,"25 groups of 5 beneficiaries each (total 125 beneficiaries) in the locations of Xabo (11 groups), Qandala (7 groups) and Caluula (7 groups);","OSRO/SOM/201/MUL,",30-Jul-13,29-Aug-13,Puntland,Bari,Bossaso,125,"4,250.00",,,,"1,275.00",PAID,"2,975.00",,,,,,"4,250.00",,,,,,,,,,,,,
American Refugee Committee (ARC),Primary,Livestock/D,75,Capacity building of local micro-financial institutions in Somalia ,,SEED II,1-Aug-13,31-Oct-14,Somaliland & Puntland,Puntland & Somaliland,,,"1,113,187.00",,,,"333,956.00",paid,"266,000.00",20-Mar-14,"266,000.00",6-Oct-14,"247,231.00",,"1,113,187.00",,,,,,,,,,,,,
American Refugee Committee (ARC),Primary,Livestock/D,76,TVET & BDS programme ,,SEED II,1-Aug-13,31-Oct-14,All Somalia,ALL regions in Somalia,,,"742,080.00",,,,"227,578.00",paid,"185,520.00",17-Mar-14,"185,520.00",6-Oct-14,"148,416.00",,"747,034.00",,,,,,,,,,,,,
Himilo Organization for Development (HOD),Primary,CFW IIb,85,CFW,,OSRO/SOM/124/USA,1-Aug-13,31-Dec-13,South Central,Lower Juba and Galgadud,"kismayo ,Cabudwaq and Casdaado","3,297","44,363.00",,,,"13,308.00",PAID,"11,091.00",10-Oct-13,"11,091.00",paid,"8,873.00",,"44,363.00",,,,,,,,,,,,,
VSF Germany,Primary,CFW IIb,95,CFW,,OSRO/SOM/124/USA,1-Aug-13,31-Dec-13,Puntland,Mudug,Jariiban,583,"64,575.00",, -   ,"178,625.00","19,373.00", PAID ,"16,143.00",14-Nov-13,"16,144.00",26-Dec-13,"12,915.00",,"64,575.00",,,,,,,,,,,,,
Save the Children,Primary,CFW IIb,100,CFW,,OSRO/SOM/124/USA,5-Aug-13,31-Dec-13,Puntland,Puntland,"Qardho , Iskushuban","1,118","87,785.00",, -   ,"333,844.00","26,336.00",PAID,"21,946.00",10-Oct-13,"21,946.00",24-Jan-14,"17,557.00",13-Aug-14,"87,785.00",,,,,,,,,,,,,
Save the Children,Primary,CFW IIb,101,CFW,,OSRO/SOM/124/USA,5-Aug-13,31-Dec-13,South Central,Hiraan,beletweyne & mahaban,"2,500","88,644.00",, -   ,"630,902.00","26,593.00", PAID ,"22,161.00",18-Sep-13,"22,161.00",22-Jan-14,"17,729.00",,"88,644.00",,,,,,,,,,,,,
Ministry of Fisheries and Marine Resources,Primary,Fisheries,61,Puntland Fishermen census,,OSRO/SOM/303/CPF,30-Aug-13,31-Dec-13,Puntland,Puntland,All regions,n/a,"41,678.00",,,,"12,000.00",Paid,"19,000.00",paid,"10,678.00",,,.,"41,678.00",,,,,,,,,,,,,
Ministry of Fisheries and Marine Resources,Amendment 1,Fisheries,61,Puntland Fishermen census,6 more locations ,OSRO/SOM/303/CPF,30-Aug-13,28-Feb-14,Puntland,Puntland,All regions,n/a,"60,378.00","41,678.00","18,700.00",,,,,,"29,378.00",15-Apr-14,,,"60,378.00",,,,,,,,,,,,,
Somali Fair Fishing,Primary,Fisheries,103,Fisheries inputs distribution,,OSRO/SOM/MUL/201 Baby 8,31-Aug-13,30-Nov-13,Somaliland,Somaliland,,100,"4,000.00",,,,"1,200.00",,"2,800.00",,,,,,"4,000.00",,,,,,,,,,,,,
Somali Fair Fishing,Amendment 1,Fisheries,103,,no cost extension,,31-Aug-13,30-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intersos,Primary,Agric,106,inputs distribution (Deyr 2013),"Returenees__(Sorghum/Cowpea Seed Voucher, DAP and  tools set 400 HHs, Direct, & Biometric )",,1-Sep-13,31-Jan-14,South Central,Bay,Baidoa,3245,"87,744.00",,,,"26,323.00",paid,"43,872.00",,"17,549.00",,,,"87,744.00",,,,,,,,,,,,,
Intersos,Amendment 1,Agric,106,,Additional 1775 tool sets and training Materials,,1-Sep-13,31-Jan-14,South Central,Bay,Baidoa,3245,"101,369.00","87,744.00","13,625.00",,,,"30,018.00",26-Mar-14,"30,018.00",22-Jun-14,"15,010.00",22-Jun-14,"101,369.00",,,,,,,,,,,,,
ADA,Primary,Agric,108,inputs distribution (Deyr 2013),"(946 hh Sorghum/Cowpea Seed Voucher,  1708 HH Maize/Cowpea  & IrrigationVoucher, DAP for all & Biometric)",,1-Sep-13,31-Jan-14,South Central,Gedo,Dollow,2654,"88,366.00",,,,"26,509.00",paid,"44,183.00",,"17,674.00",,,,"88,366.00",,,,,,,,,,,,,
SARD,Primary,Agric,109,inputs distribution (Deyr 2013),"(Sorghum/Cowpea Seed Voucher 5000 HH , DAP 627 HHs Direct, & Biometric )",,1-Sep-13,31-Jan-14,South Central,Bay,Baidoa,5000,"47,660.00",,,,"14,298.00",paid,"23,830.00",20-Jan-14,"9,532.00",,,,"47,660.00",,,,,,,,,,,,,
MOA Somaliland,Primary,SWALIM,105,File surveay of land use soil mapping,250 sites,GCP/SOM/050/MUL EC,6-Sep-13,30-Nov-13,Somaliland,Somaliland,All districts,,"36,500.00",,,,"10,950.00",,"10,950.00",,"7,300.00",,"7,300.00",,"36,500.00",,,,,,,,,,,,,
GREDO,Primary,CFW IIb,83,CFW,,OSRO/SOM/124/USA,10-Sep-13,31-Dec-13,South Central,Bay,Baidoa,4344,"41,197.00",,,"1,090,230.00","12,359.00",17-Sep-13,"10,299.00",29-Jan-14,"10,299.00",29-Jan-14,"8,240.00",5-Sep-14,"41,197.00",,,,,,,,,,,,,
Mercy Corps,Primary,Agric,107,inputs distribution (Deyr 2013),"Returnees___Riverine_2o HH_Voucher Maize, Cowpea,  Direct Urea & DAP;          Rainfed_260 HH_Voucher Sorghum, Cowpae; Direct_DAP","OSRO/SOM/202/CHS, OSRO/SOM/305/CHS",12-Sep-13,11-Mar-14,South Central,Lower Shallele,"Afgoye,  Wenla Weyn","Total 280 HHs           Afgoye_Riverine 20HH, Rain-fed 161HHs;  Wenla Weyn_Rainfed 99 HHs","48,066.00",,,,"14,420.00",paid,"24,033.00",14-Mar-14,"9,613.00",to refund USD 8644.14,,,"48,066.00",,,,,,,,,,,,,
MNR,Primary,Fisheries,118,Workshop for strategy development for Fishery sector,,TCP/SOM/3401,20-Sep-13,19-Dec-13,South Central,South-Central,n/a,20,"7,778.00",,,,"2,333.00",,"3,889.00",,"1,556.00",,,,"7,778.00",,,,,,,,,,,,,
"Min Environment, Rangeland, Wildlife & Tourism (MoEWT) Puntland",Primary,CFW IIb,110,CFW supervision & monitoring,,,1-Oct-13,31-Dec-13,Puntland,"Bari, Nugaal, Mudug","Iskushuban, Qardho, Eyl, dan Gorayo, Garowe,  Jariban",n/a,"26,400.00",,,,"7,920.00",paid,"13,200.00",19-Mar-14,"5,280.00",,,,"26,400.00",,,,,,,,,,,,,
COMCARE,Primary,Agric,60,"Silos Distribution, Training of Artisan & Production of Silos","Training 20 Artisan, Production of Silo 800 silos : Silo 500 kg capacity, 400 in jowhar 400 in Balcad, training in part of FSTP LOA",OSRO/SOM/126/EC,15-Oct-13,14-Jan-14,South Central,Middle Shabelle,"Jowhar 400, Balcad 400","Jowhar 400, Balcad 400","38,900.00",,,,"11,670.00",,"19,450.00",,"7,780.00",,,,"38,900.00",,,,,,,,,,,,,
AYUUB,Primary,Agric,121,"Silos Distribution, Training of Artisan & Production of Silos","Training 20 Artisan, Production of Silo 800 silos : Silos of 500 kg capacity, 400 in Afogoye 400 in Marka, training in part of FSTP LOA",OSRO/SOM/126/EC,15-Oct-13,14-Jan-14,South Central,Lower Shabelle,"Afogoye 400, Marka 400","Afogoye 400, Marka 400","31,800.00",,,,"9,540.00",,"15,900.00",,"6,360.00",,,,"31,800.00",,,,,,,,,,,,,
AYUUB,Amendment 1,agric,121,"Silos Distribution, Training of Artisan & Production of Silos",no cost extension,,15-Oct-13,15-Mar-14,South Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYUUB,Amendment 2,agric,121,"Silos Distribution, Training of Artisan & Production of Silos","additional 1200 silos:  Total  Silos of 500 kg capacity, 1000 in Afogoye 1000 in Marka",,15-Oct-13,15-Jun-14,South Central,,,,"57,800.00","31,800.00","26,000.00",,"9,540.00",,"36,700.00",,"11,560.00",,,,"57,800.00",,,,,,,,,,,,,
AYUUB,Amendment ,agric,121,"Silos Distribution, Training of Artisan & Production of Silos",no cost extension,,15-Oct-13,15-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEELO,Primary,Agric/Live,104,"Fodder production, marketing support through supervision of 2 produce stores","2 produce stores, inputs (600 riverine, 600 rain fed, and tracker hours to all), training of store management ","OSRO/SOM/MUL/301, Baby 1; OSRO/RAF/114/IFA",28-Oct-13,26-Jan-14,South Central,Hiraan,Belet Wyne,1200,"61,151.00",,,,"18,346.00",paid,"30,575.00",,"12,230.00",,,,"61,151.00",,,,,,,,,,,,,
GEELO,Amendment 1,Agric/Live,1041,no-cost extension and revised payment plan ,,,28-Oct-13,14-Jun-14,,,,,,,,,,,"14,056.00",10-Apr-14,"16,519.00",,"12,230.00",,"61,151.00",,,,,,,,,,,,,
NERAD,Primary,SWALIM,122,"Disaster Management capacity building, information for early warning for flood and Drought",,,1-Nov-13,31-May-14,Somaliland,n/a,n/a,n/a,"24,750.00",,,,"7,425.00",,"7,425.00",,"4,950.00",,"4,950.00",,"24,750.00",,,,,,,,,,,,,
HADMA,Primary,SWALIM,123,"Disaster Management capacity building, information for early warning for flood and Drought",,,1-Nov-13,31-May-14,Puntland,n/a,n/a,n/a,"24,750.00",,,,"7,425.00",,"7,425.00",,"4,950.00",,"4,950.00",,"24,750.00",,,,,,,,,,,,,
VSF Germany,Primary,Livestock/Emergency,117,Training of CAHWs on Disease management,"CAHW training manual, awareness creation, training 30 CAHWS for 42 days","OSRO/SOM/301/MUL,",6-Nov-13,5-May-14,South Central,Gedo,Dollow,30,"82,682.00",,,,"24,805.00",16-Dec-13,"20,670.00",13-May-14,"20,670.00",26-Jun-14,"16,537.00",Cleasred by m&e 27 th Nov 14,"82,682.00",,,,,,,,,,,,,
CAFDARO,Primary,FSNAU,125,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,11-Nov-13,30-Jan-14,South Central,Gedo,Gedo all ,Gedo,"32,970.00",,,,"9,891.00",,"16,485.00",,"6,594.00",,,,"32,970.00",,,,,,,,,,,,,
EPHCO,Primary,FSNAU,126,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,11-Nov-13,30-Jan-14,South Central,Bakool,Bakool all,Bakool Pastoral,"18,320.00",,,,"5,496.00",,"9,160.00",,"3,664.00",,,,"18,320.00",,,,,,,,,,,,,
KAASHIF,Primary,Agric,127,inputs distribution (Deyr 2013),"Flood_Riverine: 2890 hhs maize&cowpea voucher, direct :600 hhs sesame, 215 hhs urea, 2890 hhs seeds- secs, leaflets and poster. For Agro-pastoral: 180hhs, cowpea voucher, sesame and seed secs direct.","OSRO/SOM/301/MUL,",11-Nov-13,7-Nov-13,South Central,Middle Shabelle,Jowhar,3070 hh,"50,082.00",,,,"15,024.00",paid,"25,041.00",,"10,017.00",,,,"50,082.00",,,,,,,,,,,,,
KAASHIF,Amendment 1,Agric,127,inputs distribution (Deyr 2013),"Flood_Riverine_Final : 2480 hhs maize&3660 Hhs cowpea via  voucher, direct :670 hhs sesame, 1840 hhs urea (voucher), 3070 hhs seeds- secs, leaflets and poster. For Agro-pastoral: 180 hhs, cowpea voucher, sesame and seed secs direct.",,11-Nov-13,7-Nov-13,South Central,Middle Shabelle,Jowhar,3660 hhs,"51,082.00","50,082.00","1,000.00",,,,"25,041.00",10-Apr-14,"11,017.00",,,,"51,082.00",,,,,,,,,,,,,
KAASHIF,Amendment 2,Agric,127,Inputs distribution (Gu 2014),additional Urea (vouher) to 1210  Riverine HHs. Total Urea HHs is 3050 HHs,,11-Nov-13,7-Jun-14,South Central,Middle Shabelle,Jowhar,,"64,973.00","51,082.00","13,891.00",,,,"25,041.00",,"24,908.00",,,,"64,973.00",,,,,,,,,,,,,
DFCS,Primary,Agric,124,"Fodder production, marketing support through supervision of 2 produce stores",,"OSRO/SOM/301/MUL,",14-Nov-13,30-Mar-14,South Central,Gedo,Dollow,200,"17,920.00",,,,"5,376.00",,"8,960.00",,"3,584.00",,,,"17,920.00",,,,,,,,,,,,,
MoWR,Primary,SWALIM,128,Survey of emergency Water Supply,,,15-Dec-13,31-Jan-14,Somaliland,n/a,n/a,n/a,"34,800.00",,,,"10,440.00",paid,"10,440.00",paid,"6,960.00",paid,"6,960.00",24-Mar-14,"34,800.00",,,,,,,,,,,,,
PSAWEN,Primary,SWALIM,130,Survey of emergency Water Supply,,,15-Dec-13,31-Jan-14,Puntland,n/a,n/a,n/a,"42,825.00",,,,"12,847.00",paid,"12,847.00",paid,"8,565.00",paid,"8,566.00",24-Mar-14,"42,825.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,111,CCPP Vaccination,"3.85 millions goats, 2nd payment, 70% aniamls vaccainted and 2 weeks of FMT",,20-Dec-13,28-Feb-14,South Central,"Gedo, Bay, Bakool, Lshabelle, M&L Juba",All districts,"3,850,000 animals ","819,400.00",,,,"245,820.00",26-Dec-13,"409,700.00",paid,"163,880.00",,,,"819,400.00",,,,,,,,,,,,,
CERELPA,Primary,Livestock/Emergency,112,CCPP Vaccination,"3.85 millions goats, 2nd payment, 70% aniamls vaccainted and 2 weeks of FMT",,20-Dec-13,28-Feb-14,South Central,"Hiraan, M Shabelle, S Mudug, Gagalduud ",All districts,"3,850,000 animals ","816,400.00",,,,"244,920.00",26-Dec-13,"408,200.00",paid,"163,280.00",,,,"816,400.00",,,,,,,,,,,,,
BENALPA,Primary,Livestock/Emergency,113,CCPP Vaccination,"300,000 millions goats, 250,000 treatemnt 2nd payment, 70% aniamls vaccainted and 2 weeks of FMT",,20-Dec-13,28-Feb-14,South Central,Benadir,All districts,"300,000 Vaccines 250,000 treatment ","151,096.00",,,,"45,329.00",26-Dec-13,"75,548.00",24-Feb-14,"30,219.00",,,,"151,096.00",,,,,,,,,,,,,
MOL Somaliland,Primary,Livestock/Emergency,114,CCPP Vaccination,"2 millions  CCPP and 600000 treatment, 2nd payment, 70% aniamls vaccainted and 2 weeks of FMT",,20-Dec-13,28-Feb-14,Somaliland,all regions in Somaliland,All districts,2 millions and 600000 treatment ,"446,020.00",,,,"133,806.00",paid,"223,010.00",1-Apr-14,"89,204.00",,,,"446,020.00",,,,,,,,,,,,,
MOL Puntland,Primary,Livestock/Emergency,115,CCPP Vaccination,"2 millions  CCPP and 600000 treatment, 2nd payment, 70% aniamls vaccainted and 2 weeks of FMT",,20-Dec-13,28-Feb-14,Puntland,Puntland ,All districts,2 millions and 600000 treatment ,"446,020.00",,,,"133,806.00",paid,"223,010.00",,"89,204.00",,,,"446,020.00",,,,,,,,,,,,,
"Min Agriculture, Somaliland",Primary,SWALIM,1,Capacity Development ,,GCP/SOM/050/MUL,1-Feb-14,31-Jan-15,Somaliland,Somaliland,n/a,,"9,600.00",,,,,,,,,,,,0,,,,,,,,,,,,,
Ministry of Environment and Rural Development,Primary,SWALIM,2,Capacity Development ,,GCP/SOM/050/MUL,1-Feb-14,31-Jan-15,Somaliland,Somaliland,n/a,,"9,600.00",,,,,,,,,,,,0,,,,,,,,,,,,,
Puntland Ministry of Agriculture and Irrigation,Primary,SWALIM,5,Capacity Development on Climate data collection,,GCP/SOM/050/MUL,1-Feb-14,31-Jan-15,Puntland,Puntland,n/a,,"11,040.00",,,,,,,,,,,,0,,,,,,,,,,,,,
Puntland Ministry of Agriculture and Irrigation,Amendment 1,SWALIM,6,Capacity Development on Climate data collection,installment 1350 per month,,1-Feb-14,31-Jan-15,Puntland,Puntland,n/a,,"12,540.00","11,040.00","1,500.00",,,,,,,,,,,,,,,,,,,,,,,
"Min Agriculture, Somaliland",Primary,SWALIM,6,Capacity Development on Climate data collection,,GCP/SOM/050/MUL,1-Feb-14,31-Jan-15,Somaliland,Somaliland,n/a,,"14,400.00",,,,,,,,,,,,0,,,,,,,,,,,,,
